,alpha,std2,delta,pdf_type,h,ARL0,ARL1,CompTime
0,0.6,3.0,0.5,Gaussian,1.9011981437736605,34.033879164313944,13.181564245810057,3.8028430636330172e-06
1,0.6,3.0,0.5,Gaussian,2.119323116390534,40.693888888888885,14.863611264494754,5.863829861529676e-06
2,0.6,3.0,0.5,Gaussian,2.337448089007408,49.46733668341709,17.390758699372505,3.5830104280992676e-06
3,0.6,3.0,0.5,Gaussian,2.5555730616242816,56.405733186328554,19.077752553916003,3.3052020513299287e-06
4,0.6,3.0,0.5,Gaussian,2.7736980342411552,69.1783723522854,21.359348680516565,3.5919575358578753e-06
5,0.6,3.0,0.5,Gaussian,2.991823006858029,81.63134898962316,22.947093023255814,2.883356599405153e-06
6,0.6,3.0,0.5,Gaussian,3.2099479794749026,95.10114816839803,25.5993031358885,2.328181061366468e-06
7,0.6,3.0,0.5,Gaussian,3.4280729520917763,112.70746771476699,27.288037166085946,2.9977436978503954e-06
8,0.6,3.0,0.5,Gaussian,3.64619792470865,129.1850170261067,28.564478311840563,2.584842607811174e-06
9,0.6,3.0,0.5,Gaussian,3.8643228973255237,142.43630573248407,31.778443113772454,2.6866683875187876e-06
10,0.6,3.0,0.5,Gaussian,4.082447869942397,170.25701943844493,33.80442804428044,2.1802202001730123e-06
11,0.6,3.0,0.5,Gaussian,4.300572842559271,185.50370762711864,36.69305724725944,2.7032463056822553e-06
12,0.6,3.0,0.5,Gaussian,4.518697815176145,217.35281385281385,38.29365079365079,2.408618209764139e-06
13,0.6,3.0,0.5,Gaussian,4.7368227877930185,246.78321678321677,41.27648902821316,2.1706012469807656e-06
14,0.6,3.0,0.5,Gaussian,4.954947760409892,275.26681127982647,44.55465838509317,2.0514512949997626e-06
15,0.6,3.0,0.5,Gaussian,5.173072733026766,299.24174653887115,46.695945945945944,2.099380893793368e-06
16,0.6,3.0,0.5,Gaussian,5.3911977056436395,334.69323144104806,48.43018867924528,1.8844041795050946e-06
17,0.6,3.0,0.5,Gaussian,5.609322678260513,389.2687296416938,50.91574854180168,1.997525935479882e-06
18,0.6,3.0,0.5,Gaussian,5.827447650877387,411.36633109619686,53.64186965108624,2.0839670542653805e-06
19,0.6,3.0,0.5,Gaussian,6.045572623494261,492.1804591564335,55.37766300839251,3.1682475297943093e-06
20,0.6,3.0,0.5,Bigaussian,1.095712545110812,32.56586992773763,9.884970157352143,1.7131060378141098e-05
21,0.6,3.0,0.5,Bigaussian,1.2015500899935354,37.75321049692909,10.519645821804096,2.2187694411076082e-05
22,0.6,3.0,0.5,Bigaussian,1.307387634876259,45.63494623655914,12.891968325791856,1.880049170153095e-05
23,0.6,3.0,0.5,Bigaussian,1.4132251797589825,55.4304562946674,13.894736842105264,1.816262655172115e-05
24,0.6,3.0,0.5,Bigaussian,1.5190627246417059,65.88539944903582,15.96921322690992,1.6919082000434554e-05
25,0.6,3.0,0.5,Bigaussian,1.6249002695244292,74.8814404432133,16.976958525345623,1.6449521167418708e-05
26,0.6,3.0,0.5,Bigaussian,1.7307378144071528,89.61570247933884,17.883410672853827,1.987577393796564e-05
