,SNR,alpha,std2_rel,pdf_type,h,ARL0,ARL1,CompTime
0,0.5,0.6,3.0,Gaussian,2.623509374999999,42.742574257425744,2.206896551724138,6.210333641671391e-06
1,0.5,0.6,3.0,Gaussian,3.484716182140464,94.17647058823529,2.977272727272727,6.265846602910074e-06
2,0.5,0.6,3.0,Gaussian,4.34592298928093,170.7127659574468,4.222222222222222,1.4308824725689631e-05
3,0.5,0.6,3.0,Gaussian,5.207129796421395,412.08849557522126,4.770491803278689,3.272737879280492e-06
4,0.5,0.6,3.0,Gaussian,6.06833660356186,837.4351851851852,6.111111111111111,2.355184896592875e-06
5,0.5,0.6,3.0,Bigaussian,2.2813124999999994,45.97530864197531,1.7083333333333333,2.272253838296383e-05
6,0.5,0.6,3.0,Bigaussian,3.0301879844699693,83.86776859504133,2.0416666666666665,2.484953853705175e-05
7,0.5,0.6,3.0,Bigaussian,3.7790634689399387,145.31460674157304,2.5964912280701755,2.302871083650566e-05
8,0.5,0.6,3.0,Bigaussian,4.527938953409908,334.5473684210526,2.8333333333333335,2.1995927959798614e-05
9,0.5,0.6,3.0,Bigaussian,5.276814437879878,656.0462962962963,3.14,2.1940701240736465e-05
10,0.5,0.6,3.0,PWG,2.623509374999999,59.62376237623762,1.618421052631579,6.383503111562988e-06
11,0.5,0.6,3.0,PWG,3.2868356407199686,85.45744680851064,2.4237288135593222,6.1806385887113835e-06
12,0.5,0.6,3.0,PWG,3.9501619064399387,277.1875,2.736842105263158,5.0828360765304915e-06
13,0.5,0.6,3.0,PWG,4.613488172159908,435.247619047619,3.378787878787879,8.025149876858258e-06
14,0.5,0.6,3.0,PWG,5.276814437879878,764.4395604395604,3.8524590163934427,6.136203097164832e-06
15,0.5,0.6,9.0,Gaussian,3.0170357812499984,44.53465346534654,3.3846153846153846,5.44677007003471e-06
16,0.5,0.6,9.0,Gaussian,3.779860986827964,86.75471698113208,3.4285714285714284,3.955101202371418e-06
17,0.5,0.6,9.0,Gaussian,4.542686192405929,162.84848484848484,4.023255813953488,4.597322218965377e-06
18,0.5,0.6,9.0,Gaussian,5.305511397983895,248.0235294117647,5.2,3.591962969723434e-06
19,0.5,0.6,9.0,Gaussian,6.06833660356186,587.3679245283018,5.627450980392157,3.4743644247640557e-06
20,0.5,0.6,9.0,Bigaussian,3.0170357812499984,67.8411214953271,1.6533333333333333,3.156495248113413e-05
21,0.5,0.6,9.0,Bigaussian,3.5819804454074684,148.05154639175257,1.8620689655172413,2.4472666162677882e-05
22,0.5,0.6,9.0,Bigaussian,4.146925109564938,264.0485436893204,1.8095238095238095,2.8041921947836462e-05
23,0.5,0.6,9.0,Bigaussian,4.711869773722408,456.3888888888889,1.7647058823529411,3.581991354995877e-05
24,0.5,0.6,9.0,Bigaussian,5.276814437879878,594.1666666666666,2.626865671641791,2.798651580613133e-05
25,0.5,0.6,9.0,PWG,3.0170357812499984,138.67948717948718,1.6721311475409837,7.550571066753666e-06
26,0.5,0.6,9.0,PWG,3.409910409389646,213.38144329896906,1.621212121212121,1.0883376304040051e-05
27,0.5,0.6,9.0,PWG,3.8027850375292944,237.8131868131868,1.7464788732394365,6.958667217360707e-06
28,0.5,0.6,9.0,PWG,4.195659665668942,348.90816326530614,2.1551724137931036,6.986406234739511e-06
29,0.5,0.6,9.0,PWG,4.58853429380859,489.1818181818182,1.675,6.623999607256973e-06
30,0.5,0.9,3.0,Gaussian,2.623509374999999,60.14563106796116,2.6933333333333334,4.88696551544491e-06
31,0.5,0.9,3.0,Gaussian,3.7122788047740336,100.27058823529411,2.9,4.532482744056279e-06
32,0.5,0.9,3.0,Gaussian,4.801048234548068,185.12264150943398,4.6911764705882355,2.8862155861868326e-06
33,0.5,0.9,3.0,Gaussian,5.889817664322103,382.77659574468083,5.984375,3.304864476855632e-06
34,0.5,0.9,3.0,Gaussian,6.978587094096138,825.8454545454546,6.471698113207547,3.3375402906111775e-06
35,0.5,0.9,3.0,Bigaussian,3.0170357812499984,94.66666666666667,2.0144927536231885,3.2282916146206316e-05
36,0.5,0.9,3.0,Bigaussian,3.5819804454074684,149.8877551020408,2.15,3.063135833670811e-05
37,0.5,0.9,3.0,Bigaussian,4.146925109564938,279.1578947368421,2.8253968253968256,2.519129967166289e-05
38,0.5,0.9,3.0,Bigaussian,4.711869773722408,433.5164835164835,3.1486486486486487,2.8027041929424303e-05
39,0.5,0.9,3.0,Bigaussian,5.276814437879878,880.3009708737864,3.918032786885246,2.6619170749946233e-05
40,0.5,0.9,3.0,PWG,3.4695911484374977,118.26470588235294,2.4,6.841156983936602e-06
41,0.5,0.9,3.0,PWG,4.119277512218589,212.4949494949495,2.1904761904761907,6.039564202374888e-06
42,0.5,0.9,3.0,PWG,4.768963875999679,322.2247191011236,3.2903225806451615,6.737661444460636e-06
43,0.5,0.9,3.0,PWG,5.41865023978077,634.8470588235294,3.462962962962963,5.980377266195916e-06
44,0.5,0.9,3.0,PWG,6.06833660356186,1136.8854166666667,3.608695652173913,6.629319170483188e-06
45,0.5,0.9,9.0,Gaussian,3.4695911484374977,65.87735849056604,3.1914893617021276,3.8027858050994204e-06
46,0.5,0.9,9.0,Gaussian,4.909488719313658,112.66666666666667,4.8979591836734695,5.508067248382889e-06
47,0.5,0.9,9.0,Gaussian,6.349386290189818,195.45544554455446,5.724137931034483,5.615010555920987e-06
48,0.5,0.9,9.0,Gaussian,7.789283861065979,366.65765765765764,7.133333333333334,4.573663793434564e-06
49,0.5,0.9,9.0,Gaussian,9.22918143194214,745.2916666666666,8.878787878787879,4.425831078779275e-06
