,alpha,std2,delta,pdf_type,h,ARL0,ARL1,CompTime
33,0.6,3.0,1.0,Gaussian,4.958717457098441,96.68047982551799,12.379947229551451,5.449076903593949e-06
34,0.6,3.0,1.0,Gaussian,5.519293869230821,126.32767762460233,14.002666666666666,5.157635528268317e-06
35,0.6,3.0,1.0,Gaussian,6.079870281363201,177.13912133891213,15.80814717477004,5.218346430703163e-06
36,0.6,3.0,1.0,Gaussian,6.64044669349558,234.70731707317074,18.54632152588556,5.032795860204958e-06
37,0.6,3.0,1.0,Gaussian,7.20102310562796,290.80102564102566,19.29064748201439,3.85708413377912e-06
38,0.6,3.0,1.0,Gaussian,7.76159951776034,374.9866255144033,21.15244755244755,3.6141895401937353e-06
39,0.6,3.0,1.0,Gaussian,8.322175929892719,489.81178903826265,23.453536754507628,3.782913840310462e-06
40,0.6,3.0,1.0,Bigaussian,1.8926976831077975,45.707692307692305,6.211382113821138,3.29505403297247e-05
41,0.6,3.0,1.0,Bigaussian,2.126781912063722,57.68004223864836,7.149271844660194,3.6225514054557317e-05
42,0.6,3.0,1.0,Bigaussian,2.3608661410196463,78.64124597207304,8.138339920948617,3.5609323140280604e-05
43,0.6,3.0,1.0,Bigaussian,2.594950369975571,103.02285092491839,9.068123393316196,3.493196445880418e-05
44,0.6,3.0,1.0,Bigaussian,2.8290345989314956,133.5375,10.11111111111111,3.1627908393379385e-05
45,0.6,3.0,1.0,Bigaussian,3.06311882788742,176.15414634146342,11.083926031294453,3.6136613047462364e-05
46,0.6,3.0,1.0,Bigaussian,3.297203056843345,217.96076458752515,11.75438596491228,3.287227231359395e-05
47,0.6,3.0,1.0,Bigaussian,3.531287285799269,299.7344398340249,13.386039886039885,3.182745198838126e-05
48,0.6,3.0,1.0,Bigaussian,3.7653715147551936,378.00615384615384,14.379407616361071,3.265846080877108e-05
49,0.6,3.0,1.0,Bigaussian,3.9994557437111182,459.9709418837675,14.174927113702624,3.127235771084608e-05
50,0.6,3.0,1.0,PWG,2.0819674514185778,39.35214446952596,6.009456264775413,1.1678479666107336e-05
51,0.6,3.0,1.0,PWG,2.3394601032700946,53.763440860215056,6.7109756097560975,9.86763944213617e-06
52,0.6,3.0,1.0,PWG,2.5969527551216114,71.2024202420242,7.8427672955974845,8.182189135350016e-06
53,0.6,3.0,1.0,PWG,2.8544454069731287,91.08633879781421,8.864450127877237,7.841133376723753e-06
54,0.6,3.0,1.0,PWG,3.1119380588246455,121.41783567134269,10.29733163913596,8.129402086473625e-06
55,0.6,3.0,1.0,PWG,3.3694307106761623,147.32510288065845,10.984827586206897,7.571116769138542e-06
56,0.6,3.0,1.0,PWG,3.6269233625276796,182.134375,12.107994389901823,6.895879543372343e-06
57,0.6,3.0,1.0,PWG,3.8844160143791964,244.43589743589743,13.9667994687915,4.474691155417594e-06
58,0.6,3.0,1.0,PWG,4.141908666230713,296.6538024971623,14.277044854881266,3.398038976739669e-06
59,0.6,3.0,1.0,PWG,4.39940131808223,407.32104121475055,14.954407294832826,3.159441333606633e-06
60,0.6,3.0,1.5,Gaussian,4.242072025746614,39.52370689655172,5.72680412371134,5.783997113467286e-06
61,0.6,3.0,1.5,Gaussian,4.902279982423221,57.50657229524772,6.501234567901235,3.668563273271557e-06
62,0.6,3.0,1.5,Gaussian,5.562487939099828,75.7631874298541,7.210743801652892,3.2221503907346847e-06
63,0.6,3.0,1.5,Gaussian,6.222695895776434,101.55578947368421,8.078125,4.01590899363973e-06
64,0.6,3.0,1.5,Gaussian,6.882903852453042,145.58288190682558,9.156918687589158,2.9491120432457315e-06
65,0.6,3.0,1.5,Gaussian,7.543111809129648,184.0161127895267,10.295081967213115,2.9742652687428706e-06
66,0.6,3.0,1.5,Gaussian,8.203319765806256,249.717683557394,11.181818181818182,2.171420800907313e-06
67,0.6,3.0,1.5,Gaussian,8.863527722482862,310.48148148148147,11.620588235294118,2.1597227921507743e-06
68,0.6,3.0,1.5,Gaussian,9.523735679159469,390.3298755186722,13.201666666666666,2.1676160621217706e-06
69,0.6,3.0,1.5,Gaussian,10.183943635836076,539.0744570837642,13.69375,2.2916753529498733e-06
70,0.6,3.0,1.5,Bigaussian,2.171707353996036,39.701075268817206,3.7004889975550124,2.0394531882032268e-05
71,0.6,3.0,1.5,Bigaussian,2.4374147049774226,56.61794019933555,4.2194480946123525,1.8396986288336455e-05
72,0.6,3.0,1.5,Bigaussian,2.7031220559588096,77.14090431125132,4.873239436619718,1.89892573808902e-05
73,0.6,3.0,1.5,Bigaussian,2.968829406940196,102.96523517382413,5.358876117496807,1.904314506081956e-05
74,0.6,3.0,1.5,Bigaussian,3.2345367579215827,137.6821782178218,5.7604617604617605,1.8099724038532164e-05
75,0.6,3.0,1.5,Bigaussian,3.500244108902969,181.6244939271255,6.260992907801419,1.7922361643032336e-05
76,0.6,3.0,1.5,Bigaussian,3.7659514598843558,250.71458773784354,6.859598853868195,1.700148735106679e-05
77,0.6,3.0,1.5,Bigaussian,4.031658810865743,294.4258872651357,7.626099706744868,1.6889947215432928e-05
78,0.6,3.0,1.5,Bigaussian,4.29736616184713,397.0945419103314,7.725938009787928,1.7001534923632708e-05
79,0.6,3.0,1.5,Bigaussian,4.563073512828516,544.6001964636542,8.443609022556391,1.6738573522045957e-05
80,0.6,3.0,1.5,PWG,2.3888780893956394,41.793836344314556,3.91497461928934,5.755451499018338e-06
81,0.6,3.0,1.5,PWG,2.6811561754751647,57.13103448275862,4.47457627118644,6.257240825320107e-06
82,0.6,3.0,1.5,PWG,2.97343426155469,73.33949416342412,4.94765100671141,6.047042331444351e-06
83,0.6,3.0,1.5,PWG,3.265712347634216,106.19325153374233,5.315217391304348,4.5378262618863305e-06
84,0.6,3.0,1.5,PWG,3.557990433713741,144.12513601741023,6.375,3.39450957874294e-06
85,0.6,3.0,1.5,PWG,3.8502685197932665,169.9375,6.573991031390134,4.5102727923722755e-06
86,0.6,3.0,1.5,PWG,4.142546605872792,227.14328358208957,7.37536231884058,3.862961962317198e-06
87,0.6,3.0,1.5,PWG,4.4348246919523175,319.5024727992087,7.640378548895899,3.868447862328897e-06
88,0.6,3.0,1.5,PWG,4.727102778031843,418.22741764080763,8.326656394453005,3.4962581328918554e-06
89,0.6,3.0,1.5,PWG,5.019380864111368,523.1437837837838,8.77190082644628,3.6998580573294087e-06
90,0.6,3.0,2.0,Gaussian,5.5582456201250094,53.46968139773895,4.3983849259757735,6.381836091258766e-06
91,0.6,3.0,2.0,Gaussian,6.1380975962076025,68.24318869828456,5.015625,4.507133160051363e-06
92,0.6,3.0,2.0,Gaussian,6.717949572290196,88.44782168186424,5.315049226441632,4.5995997293441835e-06
93,0.6,3.0,2.0,Gaussian,7.297801548372789,108.4163306451613,6.084151472650771,3.5305858800277926e-06
94,0.6,3.0,2.0,Gaussian,7.877653524455382,141.10166177908113,6.005722460658083,3.6379294429607977e-06
95,0.6,3.0,2.0,Gaussian,8.457505500537975,178.84767556874382,6.61661807580175,2.4845925643627067e-06
96,0.6,3.0,2.0,Gaussian,9.037357476620567,230.89059304703477,7.180817610062893,2.3106406798965656e-06
97,0.6,3.0,2.0,Gaussian,9.617209452703161,274.0205882352941,7.390879478827362,2.400216491269527e-06
98,0.6,3.0,2.0,Gaussian,10.197061428785755,354.123370110331,8.1376,2.2033582125955272e-06
99,0.6,3.0,2.0,Gaussian,10.776913404868347,445.5309381237525,8.29,2.2189523734906707e-06
100,0.6,3.0,2.0,Bigaussian,2.573121632565325,50.61482254697286,2.8638132295719845,2.0105501440061946e-05
101,0.6,3.0,2.0,Bigaussian,2.7942859729401848,65.81231380337637,3.0,1.819513604098887e-05
102,0.6,3.0,2.0,Bigaussian,3.015450313315044,81.44956772334294,3.379591836734694,1.9289606440093863e-05
103,0.6,3.0,2.0,Bigaussian,3.236614653689904,103.30730223123732,3.3900709219858154,1.7594149342121285e-05
104,0.6,3.0,2.0,Bigaussian,3.457778994064763,144.77777777777777,3.9908396946564886,1.7324861855475793e-05
105,0.6,3.0,2.0,Bigaussian,3.678943334439623,176.30119284294236,4.13,1.7334878295105248e-05
106,0.6,3.0,2.0,Bigaussian,3.9001076748144827,226.66837782340863,4.282051282051282,1.7306653306679767e-05
107,0.6,3.0,2.0,Bigaussian,4.1212720151893425,271.95322245322245,4.716300940438871,1.7193088488138667e-05
108,0.6,3.0,2.0,Bigaussian,4.342436355564201,330.2507772020725,5.027687296416938,1.7259097937219117e-05
109,0.6,3.0,2.0,Bigaussian,4.563600695939061,443.8100616016427,5.274881516587678,1.751935319230527e-05
110,0.6,3.0,2.0,PWG,2.830433795821857,59.66793529971456,3.0379008746355685,5.391509108756077e-06
111,0.6,3.0,2.0,PWG,3.073714570234203,69.75050709939148,3.4475806451612905,6.1004746991697015e-06
112,0.6,3.0,2.0,PWG,3.316995344646548,95.59024896265561,3.59601706970128,6.181482889435905e-06
113,0.6,3.0,2.0,PWG,3.560276119058894,135.56420233463035,3.891304347826087,5.170621785890716e-06
114,0.6,3.0,2.0,PWG,3.8035568934712396,163.42796610169492,4.397080291970803,4.510742329658961e-06
115,0.6,3.0,2.0,PWG,4.046837667883585,209.71669980119285,4.537249283667622,4.71697105090952e-06
116,0.6,3.0,2.0,PWG,4.290118442295931,274.5112474437628,4.844544095665172,4.129656227306853e-06
117,0.6,3.0,2.0,PWG,4.533399216708276,322.8760162601626,5.217457886676876,3.874667220891342e-06
118,0.6,3.0,2.0,PWG,4.776679991120622,425.4475806451613,5.519736842105263,4.233848447634086e-06
